date,city,country,location,aqi,pm25,aqi_method,source_dataset,raw_row_count
2015-09-17,Delhi,India,"Delhi, India",293.0,,provided,India AQI Bulletins,1
2015-09-17,Mumbai,India,"Mumbai, India",60.0,,provided,India AQI Bulletins,1
2015-09-18,Bengaluru,India,"Bengaluru, India",34.0,,provided,India AQI Bulletins,1
2015-09-18,Delhi,India,"Delhi, India",166.0,,provided,India AQI Bulletins,1
2015-09-18,Mumbai,India,"Mumbai, India",61.0,,provided,India AQI Bulletins,1
2015-09-19,Bengaluru,India,"Bengaluru, India",71.0,,provided,India AQI Bulletins,1
2015-09-19,Delhi,India,"Delhi, India",133.0,,provided,India AQI Bulletins,1
2015-09-19,Mumbai,India,"Mumbai, India",63.0,,provided,India AQI Bulletins,1
2015-09-20,Bengaluru,India,"Bengaluru, India",42.0,,provided,India AQI Bulletins,1
2015-09-20,Delhi,India,"Delhi, India",110.0,,provided,India AQI Bulletins,1
2015-09-20,Mumbai,India,"Mumbai, India",64.0,,provided,India AQI Bulletins,1
2015-09-21,Bengaluru,India,"Bengaluru, India",39.0,,provided,India AQI Bulletins,1
2015-09-21,Delhi,India,"Delhi, India",144.0,,provided,India AQI Bulletins,1
2015-09-21,Mumbai,India,"Mumbai, India",61.0,,provided,India AQI Bulletins,1
2015-09-22,Bengaluru,India,"Bengaluru, India",91.0,,provided,India AQI Bulletins,1
2015-09-22,Delhi,India,"Delhi, India",97.0,,provided,India AQI Bulletins,1
2015-09-22,Mumbai,India,"Mumbai, India",68.0,,provided,India AQI Bulletins,1
2015-09-23,Bengaluru,India,"Bengaluru, India",140.0,,provided,India AQI Bulletins,1
2015-09-23,Delhi,India,"Delhi, India",98.0,,provided,India AQI Bulletins,1
2015-09-23,Mumbai,India,"Mumbai, India",74.0,,provided,India AQI Bulletins,1
2015-09-24,Bengaluru,India,"Bengaluru, India",67.0,,provided,India AQI Bulletins,1
2015-09-24,Delhi,India,"Delhi, India",85.0,,provided,India AQI Bulletins,1
2015-09-25,Bengaluru,India,"Bengaluru, India",107.0,,provided,India AQI Bulletins,1
2015-09-25,Delhi,India,"Delhi, India",189.0,,provided,India AQI Bulletins,1
2015-09-25,Mumbai,India,"Mumbai, India",91.0,,provided,India AQI Bulletins,1
2015-09-26,Delhi,India,"Delhi, India",193.0,,provided,India AQI Bulletins,1
2015-09-26,Mumbai,India,"Mumbai, India",84.0,,provided,India AQI Bulletins,1
